filename,privacy_blurs,date,time,lat,lng,datetime,mean_brightness_roi,blur_coverage_roi,lighting_level
8726.jpg,[],18-02-20,14:07,52.3443921,4.8407356,18-02-20 14:07,133.97516580967286,0.0,high_light
18649.jpg,[],18-02-20,14:07,52.3434669,4.8428123,18-02-20 14:07,142.81781739821645,0.0,high_light
22319.jpg,[],18-02-20,14:07,52.3425197,4.8428419,18-02-20 14:07,134.59447735797502,0.0,high_light
3335.jpg,[],18-02-20,14:07,52.3440989,4.8401779,18-02-20 14:07,135.7217688849144,0.0,high_light
18850.jpg,[],18-02-20,14:09,52.3469859,4.8476419,18-02-20 14:09,103.96570161711007,0.0,low_light
10854.jpg,[],18-02-20,14:10,52.349141,4.8510475,18-02-20 14:10,106.39045693916586,0.0,low_light
9692.jpg,[],18-02-20,14:13,52.3571954,4.8506952,18-02-20 14:13,150.6728364011228,0.0,high_light
24098.jpg,[],18-02-20,14:13,52.3557661,4.8503363,18-02-20 14:13,98.92664008743822,0.0,low_light
5116.jpg,[],18-02-20,14:13,52.3572729,4.8510229,18-02-20 14:13,98.21670144322727,0.0,low_light
6919.jpg,[],18-02-20,14:16,52.3510754,4.8515007,18-02-20 14:16,107.29210137367414,0.0,medium_light
8197.jpg,['1 0.6240740740740741 0.4967105263157895 0.016666666666666666 0.08552631578947369\n'],18-02-20,14:17,52.3508117,4.8537638,18-02-20 14:17,109.74037120079721,0.002906326849988822,medium_light
23932.jpg,[],18-02-20,14:20,52.3500035,4.853358,18-02-20 14:20,112.41649588891373,0.0,medium_light
5955.jpg,[],18-02-20,14:21,52.3507767,4.8535666,18-02-20 14:21,104.11946680080483,0.0,low_light
9421.jpg,"['0 0.94213 0.507401 0.0138889 0.0805921\n', '0 0.829167 0.473684 0.0268519 0.0526316\n', '0 0.805556 0.478618 0.0203704 0.0361842\n']",18-02-20,14:24,52.3528826,4.8561126,18-02-20 14:24,109.88043749454224,0.004384330675410488,medium_light
18226.jpg,[],18-02-20,14:25,52.353836,4.854195,18-02-20 14:25,88.48867588245523,0.0,low_light
5752.jpg,[],18-02-20,14:26,52.3532454,4.8534694,18-02-20 14:26,102.7112738157339,0.0,low_light
